Renewables 07/07/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-23,-24,-23,-23,-23,-23,-23,-23,-23,-23,-22,-23,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-21,-22,-22,-22,-23,-22,-22,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-24,-25,-25,-24,-25,-25,-25,-25,-25,-25,-25,-26,-26,-27,-26,-24,-20,-12,15,63,143,282,447,674,984,1341,1691,2100,2424,2815,3207,3612,4041,4326,4662,4948,5327,5807,6364,6801,7220,7514,7786,8113,8473,8721,8962,9025,9258,9435,9573,9825,10064,10333,10439,10506,10547,10718,10838,10985,11137,11217,11267,11387,11432,11587,11630,11743,11796,11868,11928,12002,12058,12072,12079,12064,12140,12226,12283,12380,12444,12517,12520,12543,12558,12509,12553,12564,12602,12636,12653,12665,12680,12696,12707,12711,12727,12725,12697,12712,12714,12713,12712,12714,12704,12703,12700,12686,12650,12668,12661,12641,12597,12593,12597,12562,12447,12369,12333,12298,12275,12154,12195,12300,12316,12353,12308,12276,12235,12208,12176,12156,12119,12067,12014,11924,11823,11732,11678,11605,11465,11421,11362,11276,11125,10997,10942,10845,10822,10742,10641,10509,10436,10347,10235,10075,9868,9709,9529,9307,9039,8811,8627,8335,8024,7706,7290,6887,6477,6030,5650,5253,4813,4382,3934,3491,3070,2664,2302,1964,1619,1310,1041,777,570,394,235,119,54,-1,-34,-52,-53,-53,-52,-51,-50,-50,-49,-49,-49,-49,-48,-48,-48,-48,-48,-47,-47,-47,-47,-47,-47,-46,-46,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-45,-44,-44,-44,-44,-44,-44
Wind,4849,4864,4847,4851,4832,4837,4876,4860,4863,4811,4766,4735,4723,4693,4659,4635,4614,4593,4590,4608,4634,4608,4616,4628,4634,4631,4606,4554,4535,4531,4477,4434,4396,4384,4364,4343,4333,4359,4338,4337,4289,4268,4234,4191,4143,4077,4038,4018,3973,3960,3964,3957,3935,3898,3868,3822,3773,3727,3701,3656,3640,3584,3553,3554,3533,3485,3447,3414,3355,3292,3235,3187,3185,3165,3104,3059,3024,2990,2955,2907,2875,2828,2810,2788,2743,2695,2689,2662,2607,2574,2540,2500,2454,2436,2438,2420,2373,2292,2220,2145,2072,1991,1932,1875,1815,1758,1689,1624,1556,1482,1408,1368,1342,1331,1324,1302,1285,1263,1231,1201,1172,1143,1113,1070,1052,1033,1027,1022,1029,1022,1021,1005,1018,1030,1045,1030,1019,1006,990,986,994,1009,1029,1034,1030,1054,1082,1068,1061,1084,1100,1135,1155,1187,1205,1225,1275,1282,1311,1327,1285,1292,1316,1317,1311,1297,1307,1342,1372,1370,1409,1422,1454,1473,1509,1565,1616,1678,1699,1756,1810,1908,1981,1936,1939,1967,1954,1985,2029,2051,2065,2085,2088,2089,2087,2093,2079,2119,2135,2124,2117,2144,2162,2172,2226,2253,2276,2318,2351,2404,2453,2448,2545,2565,2617,2642,2653,2665,2697,2750,2823,2866,2886,2884,2881,2872,2874,2905,2947,3004,3045,3070,3095,3125,3169,3198,3243,3299,3359,3400,3430,3467,3498,3505,3505,3535,3556,3575,3593,3595,3595,3580,3568,3565,3581,3606,3585,3536,3506,3483,3458,3445,3420,3389,3363,3355,3359,3349,3347,3327,3308,3282,3243,3211,3169,3135,3105,3095,3079,3068,3032,2983,2966,2976,2983,2962,2927,2876
Geothermal,826,827,827,827,827,827,827,828,828,828,828,828,827,828,828,828,828,829,829,830,831,830,830,831,831,830,830,831,831,831,831,831,830,831,832,832,833,833,834,834,833,833,835,835,834,834,834,834,834,834,835,834,835,835,835,834,835,836,836,836,835,834,835,835,835,834,834,835,834,835,835,834,833,834,833,834,833,834,832,834,833,833,833,832,834,832,834,832,843,852,887,919,934,939,938,938,938,937,937,937,936,936,935,936,935,932,932,932,931,932,930,931,931,929,928,928,929,924,923,916,915,918,926,927,927,926,925,925,926,925,925,924,925,924,925,924,925,924,924,923,923,923,922,922,922,922,921,921,920,920,920,920,920,920,920,919,919,919,918,919,918,919,918,918,918,918,919,918,917,918,918,917,916,916,915,917,916,916,915,915,914,915,915,915,915,915,913,913,905,911,909,914,913,912,912,912,912,913,913,912,913,912,912,912,912,911,912,912,912,912,912,912,912,912,912,912,913,913,915,915,913,917,918,917,918,919,919,920,921,920,922,921,921,922,923,922,923,923,923,922,922,923,923,923,924,924,924,924,925,924,926,925,925,926,923,925,925,925,927,926,927,928,928,930,931,931,931,932,933,933,934,934,935,936,935,936,935,936,935,936,936,936,937,936,937,937,937,937
Biomass,345,349,351,347,346,344,342,346,347,347,348,347,346,345,347,348,348,350,346,348,347,347,348,347,346,347,346,349,349,351,350,349,349,349,348,343,343,344,345,347,348,350,348,348,349,348,346,347,345,347,349,350,348,347,347,350,348,348,350,349,349,348,350,352,353,352,353,354,357,358,358,360,364,366,366,368,369,370,370,368,368,368,369,370,369,368,367,368,367,368,368,367,366,366,363,359,359,358,356,355,358,361,358,358,357,359,359,360,361,361,356,357,361,361,362,363,364,363,366,366,366,366,367,367,367,369,371,372,372,371,371,372,371,369,369,369,366,363,362,359,362,366,369,371,369,369,369,371,368,367,368,368,370,369,369,369,373,371,368,371,369,374,372,372,371,369,369,368,367,368,368,370,369,367,368,367,369,368,368,369,368,368,367,367,366,369,368,369,369,367,366,368,371,369,369,371,370,372,374,373,371,372,372,372,372,369,369,370,369,368,368,369,368,367,368,369,367,367,368,369,370,368,368,369,370,371,371,371,370,369,368,369,367,368,367,367,366,365,366,366,368,370,368,370,370,370,368,370,371,371,371,370,370,370,368,370,370,369,370,371,372,371,369,370,371,365,362,360,356,351,351,352,351,353,352,353,352,351,349,348,348,348,348,346,348,348,347,349
Biogas,233,234,234,234,234,234,234,234,234,234,234,234,234,235,234,235,234,235,234,235,235,236,235,235,235,235,235,235,235,235,236,238,238,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,236,237,237,237,237,238,237,238,238,238,238,237,237,237,238,237,237,237,237,230,226,226,226,226,225,225,226,226,225,225,226,226,226,226,227,227,227,227,229,230,230,230,230,231,232,234,233,233,233,234,234,234,234,234,234,233,233,233,233,233,233,233,233,232,233,232,232,233,232,232,232,232,233,231,232,231,231,231,231,232,231,231,231,231,231,231,231,232,231,231,231,232,231,232,231,231,231,231,231,231,231,231,231,232,232,233,233,233,231,232,232,232,229,230,233,233,232,233,232,233,233,234,233,234,233,233,233,234,234,233,233,233,233,233,233,234,233,234,234,234,234,234,233,234,234,234,234,233,235,234,235,234,234,235,235,234,236,234,234,234,235,234,234,234,235,234,235,235,235,235,234,235,235,235,235,234,234,234,234,233,233,234,235,235,235,235,236,236,236,236,236,236,236,236,235,236,236,235,232,233,233,233,233,233,232,232,233,232,234,235,235,235,235,235,235,234,234,235,234,235,235,235,235,235,235,235,235,235,235,235,235,234,235,235
Small hydro,164,168,172,172,172,172,172,173,173,172,172,157,140,131,132,132,131,130,130,130,130,131,131,131,130,130,130,130,131,131,131,130,131,131,130,131,132,133,151,152,152,152,152,151,151,152,152,152,152,150,149,150,150,149,149,149,149,149,149,149,149,163,190,190,190,190,190,190,191,190,190,192,192,179,171,172,171,172,171,172,171,171,172,172,171,172,171,170,171,171,172,171,171,171,170,158,134,135,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,135,134,135,134,134,134,134,134,155,176,176,177,177,177,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,175,176,176,176,176,176,176,176,177,177,176,175,175,176,176,176,176,176,176,176,176,176,175,174,173,173,173,173,173,173,174,173,173,173,173,173,173,173,173,182,192,192,192,192,193,193,194,193,194,217,234,237,240,240,240,240,240,240,241,241,241,240,241,260,284,286,284,284,285,286,286,286,286,285,285,290,295,295,296,297,296,296,295,296,297,297,297,298,295,290,288,288,288,288,288,288,288,288,288,280,262,262,262,262,262,263,263,263,262,262,254,241,206,182,173,173,172,173,173,173,173,173,173,172,172,172,172,172,172,172,172,172,172,172
