Demand 07/07/2021,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Day-ahead forecast,27619,26166,26166,26166,26166,26166,26166,26166,26166,26166,26166,26166,26166,24791,24791,24791,24791,24791,24791,24791,24791,24791,24791,24791,24791,23826,23826,23826,23826,23826,23826,23826,23826,23826,23826,23826,23826,23322,23322,23322,23322,23322,23322,23322,23322,23322,23322,23322,23322,23401,23401,23401,23401,23401,23401,23401,23401,23401,23401,23401,23401,24045,24045,24045,24045,24045,24045,24045,24045,24045,24045,24045,24045,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,24911,25930,25930,25930,25930,25930,25930,25930,25930,25930,25930,25930,25930,26503,26503,26503,26503,26503,26503,26503,26503,26503,26503,26503,26503,26689,26689,26689,26689,26689,26689,26689,26689,26689,26689,26689,26689,27263,27263,27263,27263,27263,27263,27263,27263,27263,27263,27263,27263,28331,28331,28331,28331,28331,28331,28331,28331,28331,28331,28331,28331,29750,29750,29750,29750,29750,29750,29750,29750,29750,29750,29750,29750,31243,31243,31243,31243,31243,31243,31243,31243,31243,31243,31243,31243,32993,32993,32993,32993,32993,32993,32993,32993,32993,32993,32993,32993,34831,34831,34831,34831,34831,34831,34831,34831,34831,34831,34831,34831,36163,36163,36163,36163,36163,36163,36163,36163,36163,36163,36163,36163,37201,37201,37201,37201,37201,37201,37201,37201,37201,37201,37201,37201,37486,37486,37486,37486,37486,37486,37486,37486,37486,37486,37486,37486,36708,36708,36708,36708,36708,36708,36708,36708,36708,36708,36708,36708,35673,35673,35673,35673,35673,35673,35673,35673,35673,35673,35673,35673,34335,34335,34335,34335,34335,34335,34335,34335,34335,34335,34335,34335,31690,31690,31690,31690,31690,31690,31690,31690,31690,31690,31690,31690,28996,28996,28996,28996,28996,28996,28996,28996,28996,28996,28996,28996
Hour-ahead forecast,27649,27223,27223,27223,26815,26815,26815,26416,26416,26416,25988,25988,25988,25685,25685,25685,25378,25378,25378,25041,25041,25041,24786,24786,24786,24545,24545,24545,24302,24302,24302,24125,24125,24125,23904,23904,23904,23744,23744,23744,23679,23679,23679,23606,23606,23606,23642,23642,23642,23698,23698,23698,23751,23751,23751,23849,23849,23849,24120,24120,24120,24432,24432,24432,24604,24604,24604,24609,24609,24609,24858,24858,24858,25166,25166,25166,25340,25340,25340,25598,25598,25598,25933,25933,25933,26218,26218,26218,26281,26281,26281,26280,26280,26280,26490,26490,26490,26558,26558,26558,26572,26572,26572,26660,26660,26660,26801,26801,26801,26884,26884,26884,26902,26902,26902,26940,26940,26940,27087,27087,27087,27185,27185,27185,27301,27301,27301,27566,27566,27566,28010,28010,28010,28254,28254,28254,28628,28628,28628,28832,28832,28832,29092,29092,29092,29514,29514,29514,29930,29930,29930,30325,30325,30325,30725,30725,30725,31148,31148,31148,31556,31556,31556,31985,31985,31985,32395,32395,32395,32814,32814,32814,33205,33205,33205,33633,33633,33633,34036,34036,34036,34425,34425,34425,34747,34747,34747,35204,35204,35204,35540,35540,35540,35713,35713,35713,36004,36004,36004,36417,36417,36417,36615,36615,36615,36963,36963,36963,37156,37156,37156,37446,37446,37446,37467,37467,37467,37652,37652,37652,37647,37647,37647,37623,37623,37623,37371,37371,37371,36992,36992,36992,36605,36605,36605,36331,36331,36331,36050,36050,36050,35991,35991,35991,35902,35902,35902,35631,35631,35631,35173,35173,35173,34829,34829,34829,34473,34473,34473,33966,33966,33966,33224,33224,33224,32680,32680,32680,32153,32153,32153,31389,31389,31389,30667,30667,30667,30058,30058,30058,29386,29386,29386,28759,28759,28759,28242,28242,28242
Demand,27625,27504,27438,27285,27161,27020,26885,26738,26606,26470,26327,26194,26036,25942,25829,25668,25593,25478,25383,25259,25153,25059,24967,24861,24778,24642,24585,24541,24479,24396,24313,24229,24102,24094,24016,23949,23898,23894,23861,23784,23772,23702,23649,23648,23627,23581,23557,23510,23499,23515,23613,23653,23709,23700,23705,23744,23762,23783,23792,23845,23898,24104,24260,24355,24422,24491,24512,24552,24584,24629,24643,24648,24667,24838,25039,25155,25203,25223,25272,25350,25446,25514,25605,25634,25682,25843,25980,25985,26031,26091,26130,26189,26234,26235,26223,26233,26304,26446,26524,26523,26537,26558,26542,26615,26621,26640,26644,26609,26627,26679,26736,26733,26754,26783,26757,26784,26839,26843,26869,26886,26936,27031,27147,27139,27243,27329,27400,27494,27630,27690,27794,27837,27883,28080,28199,28302,28382,28435,28517,28602,28707,28815,28917,29021,29118,29267,29395,29497,29608,29753,29852,29944,30072,30234,30342,30476,30654,30754,30930,31083,31237,31321,31470,31633,31746,31861,32016,32185,32361,32423,32529,32688,32866,32959,33054,33164,33316,33444,33629,33740,33852,34010,34154,34305,34452,34618,34770,34878,35004,35131,35167,35308,35369,35379,35468,35620,35757,35908,36029,36152,36201,36367,36520,36618,36686,36670,36741,36834,36953,37094,37139,37240,37377,37452,37559,37641,37694,37551,37477,37521,37593,37631,37653,37660,37664,37603,37586,37553,37500,37285,37157,37107,37030,36922,36816,36690,36685,36581,36466,36353,36274,36085,36016,36025,35933,35882,35838,35738,35649,35577,35536,35434,35299,35251,35206,35107,34999,34839,34629,34492,34324,34156,33988,33818,33552,33279,33105,32838,32600,32393,32172,31950,31730,31492,31291,31041,30814,30457,30263,30075,29775,29569,29369,29174,28995,28798,28584,28403,
